run_name,method,K,kappa_base,kappa_icl,delta_kappa,accbal_base,accbal_icl,delta_accbal,f1w_base,f1w_icl,delta_f1w,test_kappa_baseline,hours_of_data,num_subjects_train
test,Proto-ICL,1,0.30125387113664936,0.13291306607938946,-0.1683408050572599,0.3727070575991048,0.33669102602954754,-0.03601603156955724,0.475681855551202,0.308534322472835,-0.167147533078367,0.3009006422750762,1769.0666666666666,46
test,Proto-ICL,5,0.3020018264088774,0.2709509432988857,-0.03105088310999171,0.3725033091534963,0.436080449103457,0.06357713994996073,0.4774624045616821,0.35577246165067045,-0.12168994291101165,0.3009006422750762,1769.0666666666666,46
test,Proto-ICL,10,0.30093810588293457,0.2727484132195229,-0.028189692663411647,0.3712849173968561,0.40426690803943954,0.03298199064258345,0.478711126231138,0.4423300717418347,-0.03638105448930329,0.3009006422750762,1769.0666666666666,46
test,Proto-ICL,1,0.38578155602575226,0.1676474222674843,-0.21813413375826796,0.4798291122566593,0.3866906030819032,-0.09313850917475613,0.5442796863869854,0.2832271272975059,-0.26105255908947955,0.3855142109794444,1753.6,46
test,Proto-ICL,5,0.386657081953133,0.2685900991433934,-0.1180669828097396,0.4801451005431378,0.4787878265973641,-0.0013572739457737293,0.5458315579762054,0.3767618302507729,-0.1690697277254325,0.3855142109794444,1753.6,46
test,Proto-ICL,10,0.385535229842823,0.3393941850963834,-0.0461410447464396,0.47915387323069825,0.5017315429417447,0.022577669711046466,0.5463542279126342,0.4921671347164537,-0.054187093196180536,0.3855142109794444,1753.6,46
test,Proto-ICL,1,0.394283979580588,0.10360049851052976,-0.2906834810700582,0.4156872798297663,0.2996580867324633,-0.11602919309730297,0.5240292876047195,0.28350697848671985,-0.2405223091179996,0.393895836729071,1757.8666666666666,46
test,Proto-ICL,5,0.3947355878106238,0.3156554631278067,-0.07908012468281711,0.4153414250836775,0.38562789110744433,-0.029713533976233164,0.5254700923895305,0.4994207546454869,-0.026049337744043555,0.393895836729071,1757.8666666666666,46
test,Proto-ICL,10,0.39595254411539427,0.3751722088429076,-0.020780335272486683,0.41491965336020176,0.47864029382841505,0.0637206404682133,0.5273837400835438,0.548281843064274,0.020898102980730138,0.393895836729071,1757.8666666666666,46
test,Proto-ICL,1,0.5616203857903839,0.41611592817185983,-0.14550445761852404,0.5916713211718841,0.5635226076514818,-0.02814871352040238,0.6765190131383385,0.573311921265448,-0.10320709187289046,0.5617005884433551,1760.0,46
test,Proto-ICL,5,0.5628236456843712,0.4855197497532171,-0.07730389593115405,0.5922553323156361,0.6037837468990028,0.01152841458336673,0.6783410464960093,0.6247449583408871,-0.05359608815512229,0.5617005884433551,1760.0,46
test,Proto-ICL,10,0.5632480378691587,0.5354410809489185,-0.027806956920240156,0.5917350984777607,0.6358543110723749,0.044119212594614154,0.6801390515406267,0.6590417128825541,-0.021097338658072617,0.5617005884433551,1760.0,46
test,Proto-ICL,1,0.3908105815472612,0.2910687801227365,-0.09974180142452471,0.5014715922338275,0.4357788295069664,-0.06569276272686114,0.536081143490465,0.4884471911872889,-0.047633952303176075,0.3907452219593904,1760.0,46
test,Proto-ICL,5,0.3920432747345012,0.3689005620352608,-0.023142712699240398,0.502407571861862,0.5218164712517277,0.019408899389865675,0.5378884842567476,0.5269077012939348,-0.010980782962812796,0.3907452219593904,1760.0,46
test,Proto-ICL,10,0.3924617273356038,0.38197713150783863,-0.010484595827765175,0.5027461472490352,0.5203662206387808,0.017620073389745583,0.5391428964179182,0.5357373912524912,-0.0034055051654270363,0.3907452219593904,1760.0,46
test,Proto-ICL,1,0.5382358054928724,0.3993264501810528,-0.13890935531181964,0.5403001167374908,0.5074943714745238,-0.03280574526296698,0.6537227664436481,0.5328603444257445,-0.12086242201790365,0.5371868764182743,1769.6,46
test,Proto-ICL,5,0.53827737980198,0.46817001738912334,-0.07010736241285664,0.5394000622276589,0.5898175453795127,0.05041748315185379,0.6547298252153188,0.5743608251425574,-0.08036900007276138,0.5371868764182743,1769.6,46
test,Proto-ICL,10,0.5397543384091286,0.49259819554511575,-0.04715614286401282,0.5394967268717098,0.6184023905911971,0.07890566371948726,0.6571420381685793,0.6047974200057629,-0.052344618162816436,0.5371868764182743,1769.6,46
test,Proto-ICL,1,0.582912966144568,0.3057811546157255,-0.2771318115288425,0.5790026172912076,0.4568209245146528,-0.12218169277655483,0.6871210520378015,0.4961867672850939,-0.19093428475270757,0.582769172338438,1760.0,46
test,Proto-ICL,5,0.584401580357129,0.5644410337348247,-0.019960546622304287,0.5791791683657104,0.6202858469019406,0.04110667853623018,0.6890726221837661,0.677430603075633,-0.011642019108133117,0.582769172338438,1760.0,46
test,Proto-ICL,10,0.5841699287275492,0.5859592254287334,0.0017892967011841066,0.5783315410108416,0.6364570513622778,0.058125510351436205,0.690064123495011,0.7007675613357502,0.010703437840739238,0.582769172338438,1760.0,46
test,Proto-ICL,1,0.4159324667223694,0.336044996935152,-0.07988746978721739,0.5094160238715418,0.42364689637932545,-0.08576912749221638,0.5488833447405181,0.5039933140132801,-0.04489003072723807,0.4157498915250778,1754.1333333333334,46
test,Proto-ICL,5,0.41592402092457736,0.439132275998665,0.023208255074087636,0.5092605086090013,0.5609346191513479,0.05167411054234661,0.5495286850076171,0.589254627829279,0.039725942821661864,0.4157498915250778,1754.1333333333334,46
test,Proto-ICL,10,0.4168362643846615,0.45665718801271393,0.03982092362805245,0.5099348856450664,0.5708448932385604,0.060910007593493964,0.5507719021924371,0.6076945312386333,0.05692262904619616,0.4157498915250778,1754.1333333333334,46
