name,test_kappa,test_accuracy,test_f1,val_kappa,hours_of_data,dataset_names,num_subjects_train,epochs,scheduler
ORP_hyperparam,0.5137755771820433,0.5584907978914849,0.6505881956157648,0.4909240242072922,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5306577366914724,0.5748966805756498,0.6572787148338436,0.5013757749795538,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5067098047438721,0.5598920766790322,0.6406366248952456,0.5119112530353236,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.507109079748133,0.5612257873541268,0.6350980473781884,0.4852559508683971,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5102329820171877,0.5577760094148605,0.6431589336789129,0.510788984938912,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5073894933910705,0.5295265083335963,0.6567549197968092,0.5202668657831093,128.0,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.6027590802658302,0.6065414095569795,0.7130768955585622,0.5301038833486943,128.0,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5156000290102044,0.5949378780375948,0.6561545330875769,0.5187766154990358,128.0,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5138642516879295,0.5556569785022761,0.6583071837610175,0.500373975425942,128.0,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5747476272014727,0.581764483093316,0.6963418542341673,0.5534659265675742,128.0,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5277314034441227,0.5833167079276378,0.6510698616025983,0.5229149069851816,128.0,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5925769937191154,0.6037375125431874,0.7103869467179795,0.5140457389835424,128.0,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.4474983275722042,0.5294295283715775,0.6046635676432611,0.484232020083516,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.45893204811398614,0.5313953373889924,0.5971914091519736,0.49349922444907846,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5411056497959253,0.5916939457233493,0.6572418662842778,0.5032481594875595,128.0,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5178019155082539,0.5682296661908735,0.6521991081694509,0.5206272174799242,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5427422236372679,0.5828193200857086,0.6610179894653981,0.5117274519686639,128.0,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.4578223615966992,0.5458234595223685,0.6055359422184957,0.4852608806482792,128.0,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5412377374556209,0.5915239635790934,0.6749857685510016,0.5318526515456514,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5763998944063246,0.576286625906222,0.7008787076110213,0.5139194319818239,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5136890706357096,0.5585041749471806,0.6483095054779613,0.5120068821680557,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5644602527791691,0.5994162962917301,0.679592342327157,0.5219581527602247,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,,,,,,,,,
ORP_hyperparam,0.5326874923529339,0.5606358349117865,0.6672403197589566,0.5229432355829107,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.5003159976012566,0.5798208466799364,0.6380511369810427,0.5277188363210948,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,,,,,,,,,
ORP_hyperparam,0.543453941865191,0.5637347713570166,0.6764512173854228,0.5060046058480383,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
ORP_hyperparam,0.4815936202937062,0.5596129922381918,0.6285218567937125,0.5158142185660676,123.73333333333332,ORP,6.0,100.0,CosineAnnealingLR
all_data_hyper_1,0.4373249398311661,0.5138199429840112,0.586229092112196,0.40104531718238434,1749.3333333333333,"ORP,2023_Open_N,2019_Open_N,2017_Open_N",45.0,100.0,CosineAnnealingLR
all_data_hyper_tune,,,,,,,,,
all_data_hyper_tune,0.5323492494390122,0.553063635558016,0.6644874294700279,0.5343085621204349,1745.0666666666666,"ORP,2023_Open_N,2019_Open_N,2017_Open_N",45.0,100.0,CosineAnnealingLR
all_data_hyper_tune,0.6024989732593928,0.5997651014394266,0.716868369401937,0.5407933118153978,1749.3333333333333,"ORP,2023_Open_N,2019_Open_N,2017_Open_N",45.0,100.0,CosineAnnealingLR
all_data_hyper_tune,,,,,,,,,
all_data_hyper_tune,,,,,,,,,
all_data_hyper_tune,0.5519498770861879,0.5895411162401041,0.6686077002313016,0.5436917417184585,1749.3333333333333,"ORP,2023_Open_N,2019_Open_N,2017_Open_N",45.0,100.0,CosineAnnealingLR
all_data_hyper_tune,,,,,,,,,
all_data_hyper_tune,,,,,,,,,
all_data_hyper_tune,,,,,,,,,
all_data_hyper_tune,0.6050439925214337,0.6129741147439093,0.7164615183550298,0.5370068439130266,1745.0666666666666,"ORP,2023_Open_N,2019_Open_N,2017_Open_N",45.0,100.0,CosineAnnealingLR
all_data_hyper_tune,0.41806972273556464,0.45038287867029814,0.5435799843677774,0.32585846521533135,1749.3333333333333,"ORP,2023_Open_N,2019_Open_N,2017_Open_N",45.0,100.0,CosineAnnealingLR
