Model Configuration,Model Path,Total Parameters,Trainable Parameters,Model Size FP32 (MB),Model Size FP16 (MB),Model Size INT8 (MB),Mean Latency (ms),P95 Latency (ms),P99 Latency (ms),Memory Feasible,Latency Feasible,Deployment Score,Recommended Precision
4-Class Model,deploy_prod/4_class_weights.pth,11151972,11151972,42.54,21.27,10.64,8.16,8.31,8.83,True,True,1.0,FP32
5-Class Model,deploy_prod/model_finetune.pth,11152485,11152285,42.54,21.27,10.64,9.24,9.8,10.8,True,True,1.0,FP32
